site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,65,-1.047012936,30.5,0.7,1.630136986
LCR_res,66,1.231136476,23.4,1,0.364383562
LCR_res,68,-1.863800807,26.1,0.8,0.663013699
LCR_res,68,-0.462555979,26.9,2.1,1.939726027
LCR_res,69,0.98630081,25,2,0.44109589
LCR_res,70,1.231136476,16.8,2.7,0.364383562
LCR_res,70,-0.13434799,19.5,-0.1,0.082191781
LCR_res,71,0.692441183,14.9,-0.1,0.002739726
LCR_res,71,0.882331711,14.8,0.1,0.002739726
LCR_res,72,1.232568824,16.7,2.3,0.361643836
LCR_res,72,-0.133909102,19,0.1,0.079452055
LCR_res,73,-0.990505317,27.5,2.7,1.706849315
LCR_res,74,1.231136476,16.8,2.4,0.364383562
LCR_res,74,-1.052039219,19.2,2.6,1.624657534
LCR_res,75,1.227100688,16.1,4,0.367123288
LCR_res,76,1.227100688,18.5,3.4,0.367123288
LCR_res,77,-0.168963919,27.5,-0.4,0.073972603
LCR_res,78,1.228491913,12.4,3.9,0.364383562
LCR_res,79,1.227100688,25.4,0.7,0.367123288
LCR_res,80,1.010615028,10.4,5.6,0.438356164
LCR_res,80,-0.708100517,16,8,1.079452055
LCR_res,80,-0.843451142,24,4.6,1.58630137
LCR_res,81,1.227100688,10.7,3,0.367123288
LCR_res,81,-0.710308893,13.7,6.5,1.076712329
LCR_res,81,-1.71407227,20.2,0.4,0.550684932
LCR_res,81,0.26463353,20.6,1.4,0.087671233
LCR_res,81,-0.418249305,22,2.3,0.964383562
LCR_res,82,1.022968626,16.5,5.1,0.435616438
LCR_res,82,0.882331711,21.6,0,0.002739726
LCR_res,82,0.838485196,21.6,0.2,0.005479452
LCR_res,83,1.227100688,18,3,0.367123288
LCR_res,84,-1.043799608,15.5,3.9,1.632876712
LCR_res,84,-0.452528844,19.4,2.9,0.961643836
LCR_res,85,-0.100176134,16.5,0.3,0.082191781
LCR_res,85,1.230961324,16.8,1.9,0.361643836
LCR_res,85,-0.610963106,18.7,5,2.087671233
LCR_res,85,-1.374311146,23.7,-0.1,0.591780822
LCR_res,86,-0.171790867,26.1,0,0.065753425
LCR_res,86,-0.240131119,26.1,-0.2,0.005479452
LCR_res,87,-0.200322907,27.3,0.2,0.076712329
LCR_res,88,-0.793253042,14.5,13,2.657534247
LCR_res,89,-0.202295954,15,-0.2,0.073972603
LCR_res,90,-1.914398483,20,0.7,0.649315068
LCR_res,91,0.487947596,15.3,-0.7,0.008219178
LCR_res,92,-1.707130153,23.2,0.3,0.709589041
LCR_res,92,1.225946092,23.5,4.3,0.361643836
LCR_res,92,-1.463364147,27.8,0.3,0.632876712
LCR_res,93,1.030082119,23.7,3.7,0.435616438
LCR_res,94,-1.914398483,23.1,0.6,0.649315068
LCR_res,94,0.21350917,23.7,0.2,0.002739726
LCR_res,95,-0.63905682,27.3,0.9,1.997260274
LCR_res,95,-0.279145709,28.2,0.9,1.079452055
LCR_res,95,-0.96166028,29.1,0.9,1.501369863
LCR_res,95,0.816702817,30,0.1,0.520547945
LCR_res,96,1.224545567,17.5,1.7,0.369863014
