site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,4292,-1.363802867,32.6,0.7,0.493150685
LCR_res,4292,0.168483033,33.3,0.2,0.076712329
LCR_res,4292,0.658872301,33.5,0,0.005479452
LCR_res,4292,1.235881448,33.5,0,0.131506849
LCR_res,4292,1.3306726,33.5,-0.1,0.002739726
LCR_res,4292,1.73215063,33.4,0.6,0.205479452
LCR_res,4292,-1.811161353,34,0.2,0.657534247
LCR_res,4292,0.604210901,34.2,-0.3,0.115068493
LCR_res,4292,1.29764648,33.9,-0.2,0.01369863
LCR_res,4292,1.523245546,33.7,0.3,0.210958904
LCR_res,4292,-0.125926068,34,0,0.076712329
LCR_res,4292,-0.709644952,34,0.9,0.920547945
LCR_res,4292,0.447383646,34.9,0.1,0.084931507
LCR_res,4293,-0.021257739,10.7,-0.2,0.002739726
LCR_res,4293,0.583975836,10.5,3.5,0.197260274
LCR_res,4293,2.121060792,14,0.2,0.002739726
LCR_res,4293,1.538529552,14.2,0.9,0.238356164
LCR_res,4293,0.90001751,15.1,-0.1,0.008219178
LCR_res,4294,0.094772359,15.1,0.2,0.095890411
LCR_res,4295,-1.212072118,19.2,2.3,0.652054795
LCR_res,4295,1.254255835,21.5,0.5,0.42739726
LCR_res,4296,-1.704961475,8.1,4.5,0.536986301
LCR_res,4296,0.043801555,12.6,5.6,1.339726027
LCR_res,4297,-0.867497234,17.3,2.6,0.756164384
LCR_res,4297,1.911682435,19.9,-0.1,0.002739726
LCR_res,4297,-0.529058075,19.8,4.1,1.810958904
LCR_res,4297,-0.473733719,23.9,2.3,1.208219178
LCR_res,4297,1.503429559,26.2,0.1,0.216438356
LCR_res,4298,-0.045792013,22.5,0.5,0.093150685
LCR_res,4298,1.420271598,23,1,0.345205479
LCR_res,4298,0.739996049,24,-0.3,0.002739726
LCR_res,4298,-0.598148211,23.7,1.9,2.657534247
LCR_res,4298,-0.489957127,25.6,2.4,3.931506849
LCR_res,4299,1.132095632,30.5,0.1,0.435616438
LCR_res,4299,0.229246437,30.6,-0.2,0.087671233
LCR_res,4300,-1.205488677,17.4,2.2,0.654794521
LCR_res,4300,1.558301305,19.6,0.8,0.342465753
LCR_res,4301,-0.713320607,8.4,13.5,2.602739726
LCR_res,4301,1.439610204,21.9,1.3,0.339726027
LCR_res,4301,0.841757342,23.2,-0.3,0.005479452
LCR_res,4301,-1.216378592,22.9,1,0.652054795
LCR_res,4301,1.553906965,23.9,0.4,0.345205479
LCR_res,4301,-0.662733775,24.3,0.6,0.997260274
LCR_res,4302,-1.401840291,23.2,0.8,0.580821918
LCR_res,4302,0.337001792,24,0,0.071232877
LCR_res,4302,1.548698613,24,0,0.345205479
LCR_res,4303,1.116845801,12.5,6.8,0.438356164
LCR_res,4303,-1.401840291,19.3,2.5,0.580821918
LCR_res,4303,0.336701939,21.8,-0.1,0.076712329
LCR_res,4304,-0.257420702,17.7,5.8,1
LCR_res,4304,-1.9721429,23.5,0.8,0.575342466
LCR_res,4304,-0.422164726,24.3,3.1,2.076712329
LCR_res,4304,0.613021301,27.4,-0.5,0.112328767
LCR_res,4305,-1.401840291,18.7,1,0.580821918
LCR_res,4305,0.336701939,19.7,-0.2,0.076712329
LCR_res,4305,1.441030138,19.5,0.2,0.115068493
LCR_res,4305,1.634392947,19.7,0.3,0.224657534
LCR_res,4305,-1.534698893,20,0.5,0.717808219
LCR_res,4306,-1.199150874,20.1,1.8,0.657534247
LCR_res,4307,0.229246437,29.2,-0.2,0.087671233
LCR_res,4307,-0.847989072,29,1.3,1.62739726
LCR_res,4307,1.208271851,30.3,-0.1,0.035616438
LCR_res,4308,0.275386475,24.8,0.4,0.084931507
LCR_res,4308,-1.696891952,25.2,2.6,0.493150685
LCR_res,4308,0.34292195,27.8,0.2,0.073972603
LCR_res,4308,1.548698613,28,2,0.345205479
LCR_res,4308,-1.525353226,30,2.3,0.720547945
LCR_res,4308,1.233389851,32.3,-0.1,0.032876712
LCR_res,4308,1.619451563,32.2,0.8,0.246575342
LCR_res,4308,-0.261927497,33,0,0.090410959
LCR_res,4309,1.439610204,15.4,4.9,0.339726027
LCR_res,4310,-1.410860455,22.5,0.5,0.578082192
LCR_res,4311,-1.212072118,21.1,2.8,0.652054795
LCR_res,4311,0.332471128,23.9,-0.2,0.005479452
LCR_res,4312,-1.410860455,30.5,-0.4,0.578082192
LCR_res,4312,0.343377292,30.1,-0.4,0.076712329
LCR_res,4313,-0.045792013,26.5,0.6,0.093150685
LCR_res,4313,1.420271598,27.1,-0.5,0.345205479
LCR_res,4313,0.275386475,26.6,0.1,0.084931507
LCR_res,4314,-0.045304732,19.2,0.6,0.095890411
LCR_res,4314,1.420271598,19.8,2.6,0.345205479
LCR_res,4314,-1.401840291,22.4,0.6,0.580821918
LCR_res,4314,0.337001792,23,0,0.071232877
LCR_res,4314,-0.6543272,23,2.4,0.920547945
LCR_res,4315,1.420271598,23.6,1.2,0.345205479
LCR_res,4315,-1.205488677,24.8,0.6,0.654794521
LCR_res,4315,0.305799444,25.4,0.3,0.002739726
LCR_res,4316,-1.176898544,32.1,-0.1,0.665753425
LCR_res,4316,1.301170135,32,0.4,0.408219178
LCR_res,4317,-0.247841949,29.1,0.9,1.016438356
LCR_res,4317,-2.020024594,30,-0.2,0.564383562
LCR_res,4318,-1.80640475,11,3.4,0.479452055
LCR_res,4318,1.132095632,14.4,7.2,0.435616438
LCR_res,4318,0.275386475,21.6,0.3,0.084931507
LCR_res,4318,-1.009950045,21.9,4,0.671232877
LCR_res,4318,-0.735141171,25.9,2.7,0.95890411
LCR_res,4319,1.420271598,23.2,1.8,0.345205479
LCR_res,4319,-1.212072118,25,0.2,0.652054795
LCR_res,4319,1.548698613,25.2,1.3,0.345205479
LCR_res,4319,-1.960352234,26.5,0.3,0.578082192
LCR_res,4319,-0.222876853,26.8,2.3,1
LCR_res,4319,-0.675164806,29.1,2.7,0.997260274
LCR_res,4319,0.513073376,31.8,-0.3,0.205479452
LCR_res,4320,-1.199150874,29.3,-0.1,0.657534247
LCR_res,4320,1.287154349,29.2,0.5,0.416438356
LCR_res,4321,1.439610204,24.6,0.9,0.339726027
LCR_res,4321,-0.793543479,25.5,1.3,1.715068493
LCR_res,4321,0.912922836,26.8,0,0.002739726
LCR_res,4322,0.047516116,15.1,7.5,1.361643836
LCR_res,4323,1.439610204,16.3,4.5,0.339726027
LCR_res,4323,0.173694994,20.8,0.5,0.090410959
LCR_res,4323,-0.302213338,21.3,5.9,0.906849315
LCR_res,4324,1.132095632,26.5,0.7,0.435616438
LCR_res,4325,0.739996049,13.9,0,0.002739726
LCR_res,4325,0.960093602,13.9,-0.1,0.016438356
LCR_res,4326,0.049745753,17.3,8.6,1.356164384
LCR_res,4326,-1.410860455,25.9,0.4,0.578082192
LCR_res,4326,0.491413794,26.3,0,0.002739726
LCR_res,4327,-1.800820719,8.6,5,0.526027397
LCR_res,4327,0.049036582,13.6,11.7,1.35890411
LCR_res,4328,0.515132074,13.1,1.3,0.084931507
LCR_res,4328,-0.232790797,14.4,12.7,3.347945205
LCR_res,4328,-1.212072118,27.1,0.1,0.652054795
LCR_res,4328,1.548698613,27.2,0.4,0.345205479
LCR_res,4329,-0.259545528,28.9,0.7,0.997260274
LCR_res,4329,-0.85826931,29.6,0.5,1.57260274
LCR_res,4329,0.168483033,30.1,-0.3,0.076712329
LCR_res,4329,0.586513804,29.8,0,0.002739726
LCR_res,4329,1.221243839,29.8,-0.1,0.131506849
LCR_res,4330,-0.178918643,22.3,4.9,2.224657534
LCR_res,4331,-0.259545528,24.5,15,0.997260274
LCR_res,4332,0.032096506,33.5,0.2,1.435616438
LCR_res,4333,1.439610204,20.9,2,0.339726027
LCR_res,4334,-1.190933178,23,0,0.660273973
LCR_res,4334,0.438482081,23,0,0.010958904
LCR_res,4334,1.50530677,23,-0.3,0.090410959
LCR_res,4334,2.245116965,22.7,-0.1,0.002739726
LCR_res,4335,-0.021257739,24.8,-0.3,0.002739726
LCR_res,4335,-0.041484257,24.5,-0.3,0.095890411
LCR_res,4335,1.430864592,24.2,2.5,0.342465753
LCR_res,4335,-0.257420702,26.7,0,1
LCR_res,4336,-1.410860455,18.9,2.6,0.578082192
LCR_res,4336,0.342222283,21.5,0,0.079452055
LCR_res,4336,1.559978877,21.5,1.3,0.342465753
LCR_res,4336,-1.962457251,22.8,0.2,0.578082192
LCR_res,4336,0.918151612,23,1.3,0.495890411
LCR_res,4336,-0.711492247,24.3,0.5,0.706849315
LCR_res,4337,-0.045304732,11.7,1.9,0.095890411
LCR_res,4337,1.420271598,13.6,4.9,0.345205479
LCR_res,4337,-1.401840291,18.5,1.5,0.580821918
LCR_res,4338,-1.212072118,20.1,2.6,0.652054795
LCR_res,4338,0.355139968,22.7,-0.1,0.002739726
LCR_res,4338,1.310372552,22.6,0.4,0.101369863
LCR_res,4338,1.911682435,23,0.2,0.002739726
LCR_res,4339,-1.410860455,16.2,1.9,0.578082192
LCR_res,4339,1.33520287,18.1,2.2,0.419178082
LCR_res,4339,0.04369882,20.3,-0.1,0.079452055
LCR_res,4339,-2.293912305,20.2,-0.1,0.495890411
LCR_res,4339,0.161067243,20.1,0.1,0.002739726
LCR_res,4339,0.22596202,20.2,0.4,0.139726027
LCR_res,4339,-0.29120584,20.6,3.2,0.854794521
LCR_res,4339,-1.174953294,23.8,0,0.002739726
LCR_res,4339,-0.878651962,23.8,-0.2,0.002739726
LCR_res,4339,-0.67495988,23.6,3.7,0.991780822
LCR_res,4340,1.439610204,13,4,0.339726027
LCR_res,4340,-0.734009049,17,5.5,1.764383562
LCR_res,4341,-0.049914291,13.6,4.8,1.224657534
LCR_res,4341,0.739996049,18.4,-0.1,0.002739726
LCR_res,4341,-1.421146872,18.3,1.7,0.575342466
LCR_res,4342,0.230333415,15.4,0.1,0.005479452
LCR_res,4342,1.439610204,15.5,3.9,0.339726027
LCR_res,4343,1.439610204,21.2,2.5,0.339726027
LCR_res,4343,-0.81536242,23.7,1.4,0.769863014
LCR_res,4344,-0.259545528,30,0.5,0.997260274
LCR_res,4344,-1.534698893,30.5,0.3,0.717808219
LCR_res,4344,0.912922836,30.8,-0.2,0.002739726
LCR_res,4345,-1.410860455,18.7,1.9,0.578082192
LCR_res,4346,-0.75262637,20.1,6.5,1.750684932
LCR_res,4347,1.512324528,20.3,1.6,0.230136986
LCR_res,4347,-1.170853376,21.9,3.5,0.668493151
LCR_res,4347,1.567020382,25.4,0.5,0.115068493
LCR_res,4347,-0.982043094,25.9,2,0.808219178
LCR_res,4347,1.137206842,27.9,1.1,0.419178082
LCR_res,4347,-0.288262287,29,0.1,0.063013699
LCR_res,4347,-1.088848039,29.1,0.5,0.594520548
LCR_res,4347,1.551537355,29.6,1.1,0.339726027
LCR_res,4347,-2.171611431,30.7,1,0.564383562
LCR_res,4347,-0.407031677,31.7,2.6,3.008219178
LCR_res,4347,0.273304941,34.3,-0.1,0.073972603
LCR_res,4348,1.430864592,20.1,2.5,0.342465753
LCR_res,4348,-1.410860455,22.6,1,0.578082192
LCR_res,4349,1.439610204,22.4,0.9,0.339726027
LCR_res,4349,0.275386475,23.3,0.3,0.084931507
LCR_res,4349,-0.947436776,23.6,2.7,1.493150685
LCR_res,4349,-0.191756706,26.3,3.9,2.487671233
LCR_res,4350,-1.205488677,18.2,2.5,0.654794521
LCR_res,4350,0.305799444,20.7,-0.1,0.002739726
LCR_res,4351,-0.277511797,11.5,0.9,0.076712329
LCR_res,4351,0.049036582,12.4,8.5,1.35890411
LCR_res,4351,0.068552538,20.9,0,0.098630137
LCR_res,4351,-0.26979026,20.9,3.1,0.983561644
LCR_res,4351,-1.555656339,24,0.5,0.673972603
LCR_res,4352,-0.045304732,8.8,2.4,0.095890411
LCR_res,4352,1.420271598,11.2,4,0.345205479
LCR_res,4353,0.771949912,10.5,-0.2,0.002739726
LCR_res,4353,0.030982208,10.3,9.3,1.419178082
LCR_res,4353,0.889909517,19.6,0.1,0.016438356
LCR_res,4353,-1.487038644,19.7,1.3,0.55890411
LCR_res,4353,0.340289941,21,1.2,0.076712329
LCR_res,4353,0.355139968,22.2,-0.1,0.002739726
LCR_res,4353,0.305799444,22.1,-0.1,0.002739726
LCR_res,4354,1.154427251,19.7,2,0.430136986
LCR_res,4355,1.463179378,19,3,0.334246575
LCR_res,4355,0.841757342,22,0,0.005479452
LCR_res,4356,-1.365194518,21.8,0.8,0.594520548
LCR_res,4357,1.430864592,25.8,-0.1,0.342465753
LCR_res,4357,-0.805422936,25.7,0.6,0.77260274
LCR_res,4357,-0.519743278,26.3,0.4,1.873972603
LCR_res,4357,-0.19184796,26.7,0.4,1.347945205
LCR_res,4358,-0.190282847,17.9,5.3,2.21369863
LCR_res,4358,-0.451165856,23.2,1.3,2.071232877
LCR_res,4358,-0.517544867,24.5,1.5,2.994520548
LCR_res,4359,-0.259545528,17.1,3.2,0.997260274
LCR_res,4359,-0.85826931,20.3,1.6,1.57260274
LCR_res,4360,0.229246437,16.9,0.4,0.087671233
LCR_res,4360,-1.652317894,17.3,1.6,0.501369863
LCR_res,4360,0.355869521,18.9,0.3,0.073972603
LCR_res,4360,-0.547750518,19.2,4.9,1.052054795
LCR_res,4360,1.329787169,24.1,0.6,0.052054795
LCR_res,4360,-0.140474726,24.7,1.8,1.016438356
LCR_res,4360,-1.077928069,26.5,2.8,0.791780822
LCR_res,4360,0.231758996,29.3,0.4,0.071232877
LCR_res,4360,-0.151221098,29.7,1.5,1.419178082
LCR_res,4361,0.032096506,11.1,9.8,1.435616438
LCR_res,4362,0.123904909,25.5,0.1,0.093150685
LCR_res,4362,-0.273058186,25.6,2.8,0.989041096
LCR_res,4362,-0.907772305,28.4,1.2,1.495890411
LCR_res,4362,-0.525304602,29.6,3.9,3.093150685
LCR_res,4362,-0.296219414,33.5,-0.2,0.909589041
LCR_res,4362,0.273304941,33.3,0,0.073972603
LCR_res,4363,1.449147496,21.4,1.9,0.336986301
LCR_res,4364,-0.521606952,13.7,3.3,0.994520548
LCR_res,4364,-0.103939051,17,9.4,2.350684932
LCR_res,4364,0.739996049,26.4,0,0.002739726
LCR_res,4364,-0.466836134,26.4,3.9,3.98630137
LCR_res,4365,1.545224264,20.5,2.1,0.24109589
LCR_res,4366,1.522474433,19.5,2.1,0.232876712
LCR_res,4366,0.889909517,21.6,-0.1,0.016438356
LCR_res,4367,-1.368764572,13.2,1.9,0.591780822
LCR_res,4368,-0.857845152,13.1,4.5,0.75890411
LCR_res,4369,-0.421599102,13.9,4.8,1.005479452
LCR_res,4369,1.420271598,18.7,2,0.345205479
LCR_res,4370,1.888925378,14.2,-0.6,0.002739726
LCR_res,4370,1.545224264,13.6,2,0.24109589
LCR_res,4371,1.142867769,11.1,1.1,0.131506849
LCR_res,4371,-0.408619205,12.2,7.8,1.978082192
LCR_res,4371,1.549140175,20,0.9,0.243835616
LCR_res,4372,2.27873268,19.4,0,0.01369863
LCR_res,4372,1.500634489,19.4,1.3,0.22739726
LCR_res,4372,0.841757342,20.7,0.2,0.005479452
LCR_res,4372,-1.229556287,20.9,1.4,0.646575342
LCR_res,4372,-0.536329089,22.3,2.4,1.063013699
LCR_res,4372,1.584666421,24.7,1.2,0.279452055
LCR_res,4373,-0.621940569,16.5,9,3.649315068
LCR_res,4374,1.538529552,13.7,0.5,0.238356164
LCR_res,4375,1.500634489,14.3,1.6,0.22739726
LCR_res,4375,-0.847054909,15.9,2.4,0.761643836
LCR_res,4376,0.032110585,32.6,0.9,1.432876712
LCR_res,4376,-1.401840291,33.5,0.4,0.580821918
LCR_res,4377,1.449147496,26.9,1,0.336986301
LCR_res,4377,-0.585309891,27.9,2.6,5.580821918
LCR_res,4378,1.888925378,11.6,-0.1,0.002739726
LCR_res,4378,1.536098918,11.5,1.6,0.243835616
LCR_res,4378,-0.451759667,13.1,9.7,2.082191781
LCR_res,4379,0.033376147,19.6,6.2,1.432876712
LCR_res,4379,0.104893668,25.8,0.4,0.090410959
LCR_res,4380,1.536098918,13.8,0.6,0.243835616
LCR_res,4380,0.94299706,14.4,0,0.002739726
LCR_res,4381,0.94299706,13.1,0.2,0.002739726
LCR_res,4381,-0.602448976,13.3,8.4,2.649315068
LCR_res,4381,0.7190665,21.7,0,0.010958904
LCR_res,4381,-0.554548913,21.7,4.1,2.994520548
LCR_res,4381,1.010194153,25.8,0,0.002739726
LCR_res,4381,-0.229679289,25.8,1.4,1.010958904
LCR_res,4382,-0.830577297,13.5,4.8,0.764383562
LCR_res,4383,0.104893668,20.5,0.4,0.090410959
LCR_res,4383,-0.857421537,20.9,0.1,0.005479452
LCR_res,4384,2.121060792,12.9,0.1,0.002739726
LCR_res,4384,1.529376371,13,0.4,0.24109589
LCR_res,4384,-1.429243289,13.4,1.6,0.57260274
LCR_res,4385,1.433959741,13,3.8,0.342465753
LCR_res,4386,1.425329346,22.4,0.8,0.345205479
LCR_res,4387,1.433959741,14.1,4.3,0.342465753
LCR_res,4387,-1.421146872,18.4,2.4,0.575342466
LCR_res,4387,1.33520287,20.8,2.2,0.419178082
LCR_res,4387,-1.970499316,23,-0.2,0.575342466
LCR_res,4387,0.237676164,22.8,0.7,0.145205479
LCR_res,4388,-0.378161749,11.4,13.3,1.901369863
LCR_res,4388,-0.600843081,24.7,1.3,2.652054795
LCR_res,4389,-0.460992086,20.4,2.6,1.994520548
LCR_res,4389,-0.510636809,23,1,3.068493151
LCR_res,4390,0.94299706,24.1,0.2,0.002739726
LCR_res,4390,-0.459569351,24.3,2.6,2.008219178
LCR_res,4391,0.033467094,12.5,7.8,1.435616438
LCR_res,4392,-0.426138811,12.5,5.1,0.961643836
LCR_res,4392,-0.527658582,17.6,4,0.989041096
LCR_res,4392,-0.191081669,21.6,2.1,1.117808219
LCR_res,4392,-0.582060308,23.7,0.6,0.901369863
LCR_res,4392,1.443373503,24.3,0.3,0.339726027
LCR_res,4393,-1.39217994,19.5,2.5,0.583561644
LCR_res,4393,0.3390969,22,0,0.079452055
LCR_res,4393,-0.485970518,22,2.5,1.087671233
LCR_res,4393,1.603517083,24.5,0.6,0.246575342
LCR_res,4393,-0.242560419,25.1,-0.3,0.082191781
LCR_res,4393,-1.373369524,24.8,0.7,0.498630137
LCR_res,4393,1.339156541,25.5,2.2,0.410958904
LCR_res,4393,-1.441732928,27.7,0.9,0.775342466
LCR_res,4393,1.366612357,28.6,-0.2,0.01369863
LCR_res,4393,1.522908434,28.4,0.1,0.208219178
LCR_res,4393,0.740788253,28.5,0.1,0.005479452
LCR_res,4393,-0.192540312,28.6,-0.5,0.071232877
LCR_res,4394,-0.051349949,17,6.1,1.224657534
LCR_res,4394,0.075458895,23.1,-0.1,0.093150685
LCR_res,4394,-1.396043965,23,1.3,0.567123288
LCR_res,4394,1.235198318,24.3,2.2,0.424657534
LCR_res,4394,-2.268359279,26.5,0.1,0.498630137
LCR_res,4394,0.226508744,26.6,1.5,1.405479452
LCR_res,4394,-0.735816678,28.1,0.2,1.076712329
LCR_res,4395,-1.190793747,19.7,1,0.660273973
LCR_res,4395,-0.435995112,20.7,2.9,1.920547945
LCR_res,4396,0.94299706,15.2,-0.3,0.002739726
LCR_res,4397,1.54007315,12.2,1.5,0.246575342
LCR_res,4398,0.033453014,11.5,8.6,1.438356164
LCR_res,4399,-0.454137048,11.5,5.2,0.934246575
LCR_res,4399,1.179163315,16.7,4.9,0.421917808
LCR_res,4399,0.960093602,21.6,0.1,0.016438356
LCR_res,4400,-1.199014748,13.4,3.1,0.657534247
LCR_res,4401,1.414864406,27,0.1,0.347945205
LCR_res,4401,-0.262318388,27.1,0.2,0.994520548
LCR_res,4402,-0.375678671,12.5,4.5,1.095890411
LCR_res,4402,-0.16585869,17,6.9,2.238356164
LCR_res,4403,-1.421146872,27.2,0.4,0.575342466
LCR_res,4404,-0.954404402,10.1,12.8,1.515068493
LCR_res,4404,0.079772857,22.9,-0.5,0.002739726
LCR_res,4404,-0.404648341,22.4,2.7,1.090410959
LCR_res,4404,1.433959741,25.1,2.3,0.342465753
LCR_res,4404,-1.41203488,27.4,0.6,0.578082192
LCR_res,4404,0.336701939,28,-0.2,0.076712329
LCR_res,4405,-1.421146872,20.6,1.6,0.575342466
LCR_res,4405,1.135313316,22.2,1.4,0.495890411
LCR_res,4406,-0.254022518,21,0.3,1.002739726
LCR_res,4406,0.021149771,21.3,0.1,0.005479452
LCR_res,4406,-0.089889303,21.4,-0.2,0.071232877
LCR_res,4406,-0.581392616,21.2,0.1,0.005479452
LCR_res,4407,1.425329346,14.2,3.4,0.345205479
LCR_res,4408,-1.421146872,23.3,1.2,0.575342466
LCR_res,4408,0.343377292,24.5,-0.5,0.076712329
LCR_res,4408,1.310372552,24,1.3,0.101369863
LCR_res,4408,2.077171222,25.3,0,0.01369863
LCR_res,4408,1.625046843,25.3,0.9,0.230136986
LCR_res,4408,0.02717891,26.2,-0.2,0.076712329
LCR_res,4408,-2.293912305,26,0.2,0.495890411
LCR_res,4408,0.224640142,26.2,0.3,0.142465753
LCR_res,4408,1.208271851,26.5,0,0.035616438
LCR_res,4408,1.639711371,26.5,0.2,0.243835616
LCR_res,4408,-1.19961366,26.7,0,0.583561644
LCR_res,4408,-0.796234399,26.7,-0.2,0.005479452
LCR_res,4408,0.909589243,26.5,0.5,0.18630137
LCR_res,4408,1.717112562,27,0.3,0.221917808
LCR_res,4408,-2.094880308,27.3,0.3,0.575342466
LCR_res,4408,-0.711811022,27.6,0.2,0.005479452
LCR_res,4408,0.188280573,27.8,0.1,0.071232877
LCR_res,4408,-0.183809088,27.9,1.5,1.345205479
LCR_res,4408,0.432720614,29.4,0.1,0.082191781
LCR_res,4408,-1.533050435,29.5,0.1,0.509589041
LCR_res,4409,1.54007315,14.3,1.1,0.246575342
LCR_res,4409,-0.239971372,15.4,8.5,1.071232877
LCR_res,4409,-2.221277773,23.9,0.7,0.512328767
LCR_res,4410,-1.378614451,15.2,1.7,0.589041096
LCR_res,4410,-0.495596262,16.9,9.3,2.978082192
LCR_res,4411,0.050403498,13,-0.1,0.002739726
LCR_res,4411,-0.400454131,12.9,13.2,2
LCR_res,4411,-0.291162125,26.1,-0.4,0.071232877
LCR_res,4411,0.050432827,25.7,2.5,1.361643836
LCR_res,4411,-0.257255468,28.2,1,1
LCR_res,4411,-0.001832499,29.2,-0.2,0.073972603
LCR_res,4412,-1.729285529,10.6,4.1,0.547945205
LCR_res,4412,-0.248496751,14.7,5.4,1.120547945
LCR_res,4412,1.491496699,20.1,2.7,0.230136986
LCR_res,4412,-1.207300892,22.8,2.2,0.654794521
LCR_res,4412,-0.477807013,25,3.1,1.095890411
LCR_res,4412,1.603517083,28.1,0.5,0.246575342
LCR_res,4413,0.94299706,14.7,0.2,0.002739726
LCR_res,4414,-0.260749424,25.3,0.2,0.073972603
LCR_res,4414,-0.535492175,25.5,-0.2,0.005479452
LCR_res,4414,0.894142067,25.3,0.9,0.115068493
LCR_res,4414,-0.027296405,26.2,2.9,1.243835616
LCR_res,4414,-1.421146872,29.1,0.1,0.575342466
LCR_res,4414,0.343377292,29.2,-0.1,0.076712329
LCR_res,4414,1.280679084,29.1,1.1,0.419178082
LCR_res,4415,-0.644498296,27.5,-0.2,0.005479452
LCR_res,4415,-0.007026275,27.3,-0.3,0.090410959
LCR_res,4415,1.414864406,27,0.7,0.347945205
LCR_res,4416,0.034342522,12.8,7.3,1.42739726
LCR_res,4417,-0.051349949,19.4,5.7,1.224657534
LCR_res,4418,-0.27980303,12.2,5.8,1.109589041
LCR_res,4418,1.54007315,18,1.2,0.246575342
LCR_res,4418,-1.4016818,19.2,1.1,0.580821918
LCR_res,4418,1.344532797,20.3,1.9,0.41369863
LCR_res,4419,0.97965494,19.9,0,0.005479452
LCR_res,4420,-0.241594785,14.1,4.9,1.128767123
LCR_res,4420,2.394548264,19,-0.1,0.002739726
LCR_res,4420,1.480536527,18.9,1.1,0.22739726
LCR_res,4421,0.026148652,23.5,0.5,0.084931507
LCR_res,4421,-0.103744557,24,4.7,2.345205479
LCR_res,4422,1.098676612,12.7,1.2,0.120547945
LCR_res,4422,1.99980138,13.9,0.1,0.010958904
LCR_res,4422,-0.408827201,14,11,1.978082192
LCR_res,4422,2.121060792,25,0.2,0.002739726
LCR_res,4422,1.529376371,25.2,0.8,0.24109589
LCR_res,4422,0.97965494,26,0,0.005479452
LCR_res,4422,0.207154723,26,0.3,0.076712329
LCR_res,4423,-0.454280604,8.7,15.5,2.939726027
LCR_res,4424,-0.882619695,23,2.2,1.580821918
LCR_res,4424,-0.226266866,25.2,1.8,0.994520548
LCR_res,4425,-0.260180034,16.5,2,0.997260274
LCR_res,4425,-1.962457251,18.5,0.1,0.578082192
LCR_res,4426,-0.405024381,14.1,4.8,0.997260274
LCR_res,4426,1.503156469,18.9,-0.1,0.232876712
LCR_res,4427,-0.389421671,11.8,3.5,1.002739726
LCR_res,4427,1.480536527,15.3,0.8,0.22739726
LCR_res,4428,1.888925378,11.2,0.1,0.002739726
LCR_res,4428,1.536098918,11.3,1.3,0.243835616
LCR_res,4429,-0.262318388,14.5,4.6,0.994520548
LCR_res,4430,-0.044506637,11.6,5.6,1.230136986
LCR_res,4431,-0.521331289,12.1,16.5,6.668493151
LCR_res,4432,-0.396369702,25.1,3.9,2.073972603
LCR_res,4432,0.972353414,29,0,0.131506849
LCR_res,4432,-0.048142471,29,1,1.22739726
LCR_res,4433,-0.260180034,16.5,3,0.997260274
LCR_res,4434,-0.100825235,11.9,11.9,2.35890411
LCR_res,4434,-0.624153846,23.8,5.3,3.643835616
LCR_res,4435,0.230333415,25.3,0.2,0.005479452
LCR_res,4435,1.430026093,25.5,1.2,0.345205479
LCR_res,4436,-0.524931647,27,6.7,6.652054795
LCR_res,4437,0.071950817,15.7,-0.2,0.005479452
LCR_res,4437,-0.404648341,15.5,7,1.090410959
LCR_res,4437,1.430026093,22.5,1.8,0.345205479
LCR_res,4437,-1.229556287,24.3,1,0.646575342
LCR_res,4437,0.355139968,25.3,0,0.002739726
LCR_res,4437,1.310372552,25.3,0.5,0.101369863
LCR_res,4438,-0.827294249,22,2.2,0.764383562
LCR_res,4438,1.625046843,24.2,0.9,0.230136986
LCR_res,4439,0.106087803,26.1,0.1,0.002739726
LCR_res,4439,1.421495454,26.2,0.4,0.347945205
LCR_res,4440,-0.279488585,11.5,0.6,0.079452055
LCR_res,4440,0.052946052,12.1,11.5,1.361643836
LCR_res,4441,-0.808403179,15.4,4.4,0.769863014
LCR_res,4441,-0.972969594,19.8,2.2,0.797260274
LCR_res,4441,0.884028819,22,3.8,0.512328767
LCR_res,4442,-1.199726491,15.7,1.3,0.657534247
LCR_res,4443,-0.630543842,26.7,0.9,2.57260274
LCR_res,4443,-0.411970257,27.6,0,0.008219178
LCR_res,4444,-0.344640133,11.8,5.4,0.983561644
LCR_res,4444,0.050713174,17.2,9,1.367123288
LCR_res,4445,0,31.1,0,0.002739726
LCR_res,4445,0.431254298,31.1,0,0.194520548
LCR_res,4445,-0.026996625,31.1,0.9,1.243835616
LCR_res,4446,-0.440468548,27,3.5,2.917808219
LCR_res,4446,-0.007026275,30.5,0.3,0.090410959
LCR_res,4446,1.41114315,30.8,-0.1,0.350684932
LCR_res,4447,0.18759349,25,-0.2,0.082191781
LCR_res,4448,0.978240291,12.9,0.2,0.002739726
LCR_res,4448,0.04902679,13.1,10.9,1.353424658
LCR_res,4449,-0.263518786,15.5,5.1,0.994520548
LCR_res,4450,-0.506575672,19.1,12.2,4.983561644
LCR_res,4451,-0.420343712,10.6,14.6,2.956164384
LCR_res,4451,-0.264198528,25.2,0.2,0.073972603
LCR_res,4451,0.910020258,25.4,0.4,0.117808219
LCR_res,4451,-0.586477017,25.8,1.4,0.901369863
LCR_res,4451,1.453055961,27.2,3,0.339726027
