ch_col1,ch_col2,ch_col3,ch_col4,ch_col5,ch_col6,ch_col7,ch_col8,ch_col9,ch_col10,ch_col11,ch_col12,ch_col13,ch_col14,ch_col15,ch_col16,ch_col17,ch_col18,ch_col19,sumf,suml,fr,newtag
10,10,10,4,10,9,9,9,10,10,9,10,10,9,10,10,10,10,10,4,19,1,0
10,10,10,4,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,4,19,1,0
10,10,10,4,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,4,19,1,0
10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,19,1,0
10,10,10,10,1,10,9,9,2,10,10,10,10,10,10,10,10,10,10,5,9,1,0
10,10,10,10,2,9,9,9,10,3,10,10,10,10,10,10,10,10,10,5,10,1,0
10,10,10,10,2,9,9,10,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,2,9,10,9,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,2,10,9,9,10,9,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,2,10,9,10,10,9,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,2,10,9,10,10,10,10,10,10,10,10,10,10,10,10,5,19,2,0
10,10,10,10,2,10,10,2,10,10,10,10,10,10,10,10,10,10,10,5,8,1,0
10,10,10,10,2,10,10,9,3,10,10,10,10,10,10,10,10,10,10,5,9,1,0
10,10,10,10,2,10,10,9,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,2,10,10,10,10,9,10,10,10,10,10,10,10,10,9,5,19,1,0
10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,19,3,0
10,10,10,10,3,9,10,10,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,3,10,10,9,10,9,9,10,9,10,10,10,10,10,10,5,19,1,0
10,10,10,10,3,10,10,9,10,9,10,10,9,10,10,10,10,10,10,5,19,1,0
10,10,10,10,3,10,10,10,10,10,9,4,10,10,10,10,10,10,10,5,12,1,0
10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,4,9,9,9,4,10,10,10,10,10,10,10,10,10,10,5,9,1,0
10,10,10,10,4,9,9,9,10,10,9,10,10,9,10,9,10,10,10,5,19,1,0
10,10,10,10,4,9,9,9,10,10,10,4,10,10,10,10,10,10,10,5,12,1,0
10,10,10,10,4,9,9,10,10,10,9,10,10,10,10,10,10,9,10,5,19,1,0
10,10,10,10,4,9,10,9,10,9,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,4,9,10,9,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,4,10,9,9,10,9,10,10,9,9,10,9,10,10,10,5,19,1,0
10,10,10,10,4,10,9,10,4,10,10,10,10,10,10,10,10,10,10,5,9,1,0
10,10,10,10,4,10,9,10,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,4,10,10,9,10,9,9,4,10,10,10,10,10,10,10,5,12,1,0
10,10,10,10,4,10,10,10,4,10,10,10,10,10,10,10,10,10,10,5,9,2,0
10,10,10,10,4,10,10,10,10,9,9,10,10,9,10,10,10,10,10,5,19,1,0
10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,19,1,0
10,10,10,10,10,2,2,10,10,10,10,10,10,10,10,10,10,10,10,6,7,1,0
10,10,10,10,10,2,9,9,10,9,9,10,9,3,10,10,10,10,10,6,14,1,0
10,10,10,10,10,2,9,9,10,10,7,10,10,10,10,10,10,10,10,6,11,1,0
10,10,10,10,10,2,10,9,10,10,10,10,10,10,10,10,10,10,10,6,19,1,0
10,10,10,10,10,2,10,10,10,10,10,10,10,7,10,10,10,10,10,6,14,1,0
10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,6,19,2,0
10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,6,19,1,0
10,10,10,10,10,4,9,10,4,10,10,10,10,10,10,10,10,10,10,6,9,1,0
10,10,10,10,10,4,9,10,10,10,10,10,10,10,10,10,10,10,10,6,19,1,0
10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,9,10,6,19,1,0
10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,6,19,1,0
10,10,10,10,10,10,1,1,10,10,10,10,10,10,10,10,10,10,10,7,8,1,0
10,10,10,10,10,10,1,5,10,10,10,10,10,10,10,10,10,10,10,7,8,1,0
10,10,10,10,10,10,1,6,10,10,10,10,10,10,10,10,10,10,10,7,8,1,0
10,10,10,10,10,10,1,9,10,9,6,10,10,10,10,10,10,10,10,7,11,1,0
10,10,10,10,10,10,1,9,10,9,7,10,10,10,10,10,10,10,10,7,11,1,0
10,10,10,10,10,10,1,10,10,6,10,10,10,10,10,10,10,10,10,7,10,1,0
10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,7,19,2,0
10,10,10,10,10,10,2,9,10,9,9,10,10,9,9,10,10,4,10,7,18,1,0
10,10,10,10,10,10,2,9,10,10,9,10,9,10,9,9,9,10,9,7,19,1,0
10,10,10,10,10,10,2,9,10,10,9,10,10,3,10,10,10,10,10,7,14,1,0
10,10,10,10,10,10,2,9,10,10,10,10,10,9,10,10,10,9,10,7,19,1,0
10,10,10,10,10,10,2,9,10,10,10,10,10,10,10,10,10,10,10,7,19,1,0
10,10,10,10,10,10,2,10,3,10,10,10,10,10,10,10,10,10,10,7,9,1,0
10,10,10,10,10,10,2,10,10,9,10,10,10,10,10,10,10,10,10,7,19,2,0
10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,7,19,6,0
10,10,10,10,10,10,3,9,10,10,10,3,10,10,10,10,10,10,10,7,12,1,0
10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,7,19,4,0
10,10,10,10,10,10,4,9,4,10,10,10,10,10,10,10,10,10,10,7,9,1,0
10,10,10,10,10,10,4,9,10,10,10,10,9,4,10,10,10,10,10,7,14,1,0
10,10,10,10,10,10,4,10,10,10,10,10,9,9,10,10,10,10,10,7,19,1,0
10,10,10,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,7,19,4,0
10,10,10,10,10,10,10,1,2,10,10,10,10,10,10,10,10,10,10,8,9,2,0
10,10,10,10,10,10,10,1,10,2,10,10,10,10,10,10,10,10,10,8,10,1,0
10,10,10,10,10,10,10,1,10,9,9,10,9,10,9,10,9,10,10,8,19,1,0
10,10,10,10,10,10,10,1,10,9,10,10,9,10,9,10,10,9,10,8,19,1,0
10,10,10,10,10,10,10,1,10,9,10,10,9,10,10,10,10,10,10,8,19,1,0
10,10,10,10,10,10,10,1,10,9,10,10,10,10,10,10,10,10,10,8,19,1,0
10,10,10,10,10,10,10,1,10,10,10,10,10,10,9,10,9,9,9,8,19,1,0
10,10,10,10,10,10,10,1,10,10,10,10,10,10,9,10,9,10,10,8,19,2,0
10,10,10,10,10,10,10,1,10,10,10,10,10,10,9,10,10,9,10,8,19,1,0
10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,8,19,8,0
10,10,10,10,10,10,10,2,2,10,10,10,10,10,10,10,10,10,10,8,9,3,0
10,10,10,10,10,10,10,2,3,10,10,10,10,10,10,10,10,10,10,8,9,1,0
10,10,10,10,10,10,10,2,10,9,9,10,9,9,9,10,9,4,10,8,18,1,0
10,10,10,10,10,10,10,2,10,9,9,10,10,10,10,10,9,9,10,8,19,1,0
10,10,10,10,10,10,10,2,10,9,9,10,10,10,10,10,10,10,10,8,19,1,0
10,10,10,10,10,10,10,2,10,10,9,10,10,9,9,10,10,10,10,8,19,1,0
10,10,10,10,10,10,10,2,10,10,10,10,9,9,10,10,10,9,9,8,19,1,0
10,10,10,10,10,10,10,2,10,10,10,10,9,10,10,10,10,10,10,8,19,1,0
10,10,10,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,8,19,19,0
10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,10,10,10,10,8,9,2,0
10,10,10,10,10,10,10,3,10,9,9,10,9,10,10,10,10,9,10,8,19,1,0
10,10,10,10,10,10,10,3,10,9,10,10,10,10,10,10,10,10,10,8,19,2,0
10,10,10,10,10,10,10,3,10,10,9,10,9,10,10,9,10,10,9,8,19,1,0
